,precision,recall,f1-score,support
ALK,0.5,0.5789473684210527,0.5365853658536586,19.0
others,0.7419354838709677,0.6764705882352942,0.7076923076923077,34.0
accuracy,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.6415094339622641
macro avg,0.6209677419354839,0.6277089783281734,0.6221388367729832,53.0
weighted avg,0.655203895313451,0.6415094339622641,0.6463520832595844,53.0
